Player,Span,Mat,Start,Sub,Pts,Tries,Conv,Pens,Drop,GfM,Won,Lost,Draw,%
PF Hancock (Eng/GB),1886-1896,10,10,0,3,1,0,0,0,0,8,2,0,80
MJ Harris (Aust),2012-2013,10,5,5,55,1,1,16,0,0,6,3,1,65
V Hart (Belg),2017-2019,10,10,0,32,2,2,6,0,0,3,7,0,30
P Healey (Ire),1901-1904,10,10,0,0,0,0,0,0,0,3,7,0,30
EL Heinrich (Aust),1961-1963,10,10,0,6,2,0,0,0,0,3,5,2,40
MA Henn (Germ),2017-2019,10,5,5,5,1,0,0,0,0,3,7,0,30
AG Herbert (Aust),1987-1993,10,4,6,5,1,0,0,0,0,6,4,0,60
MA Herewini (NZ),1962-1967,10,10,0,21,1,0,1,5,0,9,0,1,95
D Hernandez Abad (Spain),2005-2009,10,4,6,5,1,0,0,0,0,3,6,1,35
R Hesford (Eng),1981-1985,10,7,3,0,0,0,0,0,0,5,3,2,60
NJ Heslop (Eng),1990-1992,10,9,1,12,3,0,0,0,0,9,1,0,90
K Honjo (JPN),1982-1985,10,10,0,67,2,13,11,0,0,3,7,0,30
J Hore (NZ),1930-1936,10,10,0,9,3,0,0,0,0,6,3,1,65
JP Horrocks-Taylor (Eng/Lions),1958-1964,10,10,0,3,0,0,1,0,0,2,5,3,35
JP Horta (Urug),2008-2010,10,7,3,0,0,0,0,0,0,3,7,0,30
AL Horton (Eng/Lions),1965-1968,10,10,0,0,0,0,0,0,0,1,7,2,20
RW Hosen (Eng),1963-1967,10,10,0,63,0,6,17,0,0,3,7,0,30
T Hosokawa (JPN),1990-1993,10,10,0,115,3,14,24,1,0,3,7,0,30
R Houdet (Fra),1927-1930,10,10,0,21,7,0,0,0,0,4,6,0,40
WR Hunter (Ire),1962-1966,10,10,0,6,1,0,1,0,0,0,7,3,15
F Hurtado (Chile),2010-2016,10,4,6,5,1,0,0,0,0,5,4,1,55
D Husselman (Namib),1993-2003,10,9,1,20,4,0,0,0,0,4,5,1,45
T Iannone (Italy),2012-2014,10,5,5,5,1,0,0,0,0,2,8,0,20
V Ignatev (Russ),2006-2008,10,6,4,19,3,2,0,0,0,6,4,0,60
I Ilie (Rom),1952-1959,10,9,1,0,0,0,0,0,0,6,4,0,60
AR Jackson (Ire),1911-1914,10,10,0,9,3,0,0,0,0,6,4,0,60
JS Jansen (SA),1970-1972,10,10,0,3,1,0,0,0,0,7,2,1,75
GF Janse van Rensburg (Namib),1998-2000,10,6,4,5,1,0,0,0,0,7,3,0,70
HJ Jantjies (SA),2019-2019,10,2,8,20,4,0,0,0,0,8,1,1,85
KS Jarrett (Wales),1967-1969,10,10,0,73,2,17,11,0,0,6,2,2,70
P Jedrasiak (Fra),2016-2017,10,2,8,0,0,0,0,0,0,4,5,1,45
P John (Wales),1994-1998,10,7,3,5,1,0,0,0,0,9,1,0,90
M Jol (Fra),1947-1949,10,10,0,0,0,0,0,0,0,6,4,0,60
L Jones (Scot),2012-2018,10,9,1,5,1,0,0,0,0,3,7,0,30
PKB Jones (Wales),1996-1998,10,8,2,0,0,0,0,0,0,4,6,0,40
S Judd (Wales),1953-1955,10,10,0,3,1,0,0,0,0,7,3,0,70
ZR Kapeli (Tonga),2018-2019,10,7,3,5,1,0,0,0,0,2,8,0,20
M Kapitako (Namib),2000-2006,10,5,5,5,1,0,0,0,0,7,3,0,70
JF Karam (NZ),1972-1975,10,10,0,65,1,11,13,0,0,7,1,2,80
DM Karani (Kenya),2011-2017,10,9,1,5,1,0,0,0,0,4,4,2,50
P Katoa (Tonga),1977-1981,10,10,0,0,0,0,0,0,0,3,7,0,30
H Kawachi (JPN),1980-1984,10,10,0,8,2,0,0,0,0,3,7,0,30
Y Kawase (JPN),1982-1987,10,8,2,0,0,0,0,0,0,1,9,0,10
MG Keenan (Samoa),1991-1994,10,10,0,0,0,0,0,0,0,6,4,0,60
DA Kendrew (Eng),1930-1936,10,10,0,2,0,1,0,0,0,5,3,2,60
DS Kerr (Scot),1923-1928,10,10,0,6,2,0,0,0,0,5,5,0,50
NT Khuade (Georg),1989-1995,10,8,2,0,0,0,0,0,0,6,3,1,65
A Khvedelidze (Georg),1989-1993,10,10,0,12,3,0,0,0,0,7,3,0,70
Z Kikacheishvili (Ukr),2011-2012,10,10,0,0,0,0,0,0,0,1,9,0,10
GV Killeen (Ire),1912-1914,10,10,0,0,0,0,0,0,0,4,6,0,40
JH Kim (Korea),1994-2002,10,9,1,19,3,2,0,0,0,2,8,0,20
T Kimura (JPN),1984-1987,10,9,1,0,0,0,0,0,0,1,9,0,10
M Kirsanov (Ukr),2011-2012,10,10,0,10,2,0,0,0,0,1,9,0,10
HJB Knox (Ire),1904-1908,10,10,0,0,0,0,0,0,0,6,4,0,60
M Koshiyama (JPN),1984-1987,10,10,0,4,1,0,0,0,0,2,8,0,20
N Kotaki (JPN),2016-2017,10,7,3,5,1,0,0,0,0,8,2,0,80
CW Kwan (Korea),1996-2006,10,9,1,0,0,0,0,0,0,2,7,1,25
HCC Laird (Eng),1927-1929,10,10,0,15,5,0,0,0,0,8,2,0,80
A Lalanne (Arg),2008-2011,10,4,6,0,0,0,0,0,0,4,6,0,40
F Lambey (Fra),2018-2019,10,5,5,0,0,0,0,0,0,4,6,0,40
A Lambourn (NZ),1934-1938,10,10,0,0,0,0,0,0,0,4,5,1,45
GM Latu (Samoa),1994-1995,10,9,1,0,0,0,0,0,0,4,6,0,40
S Latu (Tonga),1972-1975,10,10,0,12,3,0,0,0,0,3,7,0,30
KTV Leaupepe (Samoa),2018-2019,10,10,0,0,0,0,0,0,0,3,7,0,30
AL Leitao (Port),1982-1984,10,8,2,0,0,0,0,0,0,4,5,1,45
A Leon Justel (Spain),2000-2001,10,9,1,10,2,0,0,0,0,4,6,0,40
AR Leslie (NZ),1974-1976,10,10,0,4,1,0,0,0,0,6,3,1,65
A Leu'u (Samoa),1987-1996,10,10,0,4,1,0,0,0,0,7,3,0,70
AO Lewis (Eng),1952-1954,10,10,0,0,0,0,0,0,0,6,3,1,65
DY Leyds (SA),2017-2019,10,7,3,5,1,0,0,0,0,6,3,1,65
HT Lilburne (NZ),1928-1934,10,10,0,4,0,2,0,0,0,3,6,1,35
SS Lim (Korea),1998-2002,10,8,2,15,3,0,0,0,0,3,7,0,30
G Limone (Italy),1979-1983,10,8,2,8,2,0,0,0,0,5,3,2,60
MR Lipman (Eng),2004-2008,10,6,4,0,0,0,0,0,0,4,6,0,40
PF Little (NZ),1961-1964,10,10,0,3,1,0,0,0,0,8,0,2,90
N Lobo (Arg),2012-2013,10,0,10,0,0,0,0,0,0,1,9,0,10
PHDC Lopes (Braz),2011-2015,10,6,4,5,1,0,0,0,0,2,8,0,20
TC Losper (Namib),2007-2011,10,7,3,24,0,6,4,0,0,2,8,0,20
JA Loveday (Can),1993-1999,10,6,4,5,1,0,0,0,0,5,5,0,50
FDM Luafalealo (Samoa),1999-2001,10,6,4,0,0,0,0,0,0,6,4,0,60
A Lugin (Russ),2004-2009,10,8,2,5,1,0,0,0,0,2,8,0,20
L Luise I (Italy),1955-1958,10,10,0,3,1,0,0,0,0,6,4,0,60
MB Lund (Eng),2006-2007,10,5,5,5,1,0,0,0,0,3,7,0,30
P Ma'afu (Tonga),1979-1983,10,10,0,4,1,0,0,0,0,4,6,0,40
JWT MacBride (Aust),1946-1948,10,10,0,3,1,0,0,0,0,3,7,0,30
BJ McCahill (NZ),1987-1991,10,6,4,4,1,0,0,0,0,9,1,0,90
D McCowan (Scot),1880-1884,10,10,0,0G,1,0,0,0,0,5,4,1,55
MMSCF Macedo (Port),2016-2017,10,6,4,0,0,0,0,0,0,6,4,0,60
PJ McGrath (Ire),1965-1967,10,10,0,12,4,0,0,0,0,6,3,1,65
B McGuigan (Scot),2017-2020,10,6,4,15,3,0,0,0,0,4,5,1,45
BJ McKechnie (NZ),1977-1981,10,7,3,46,0,5,11,1,0,7,3,0,70
AD McLean (Aust),1933-1936,10,10,0,12,4,0,0,0,0,4,5,1,45
RE McLean (Ire),1881-1885,10,10,0,0G,0,0,0,0,0,1,8,1,15
KG MacLeod (Scot),1905-1908,10,10,0,25,4,2,2,0,1,6,4,0,60
SJ McLeod (NZ),1996-1998,10,3,7,5,1,0,0,0,0,7,2,1,75
DJ Macrae (GB/Scot),1937-1939,10,10,0,3,1,0,0,0,0,4,6,0,40
RG McWilliams (NZ),1928-1930,10,10,0,3,1,0,0,0,0,5,5,0,50
C Magnanou (Fra),1923-1930,10,10,0,4,0,0,0,1,0,2,8,0,20
C Marais (Namib),2010-2015,10,9,1,25,5,0,0,0,0,3,7,0,30
A Marquesuzaa (Fra),1958-1960,10,10,0,3,1,0,0,0,0,7,0,3,85
MW Marshall (Eng),1873-1878,10,10,0,0G,0,0,0,0,0,6,1,3,75
F Martel (Germ),2018-2019,10,3,7,0,0,0,0,0,0,1,9,0,10
R Martinez-Frugoni (Italy),2002-2003,10,7,3,0,0,0,0,0,0,3,7,0,30
S Martinez Etcheverry (Urug),2014-2016,10,6,4,8,0,4,0,0,0,6,4,0,60
R Martini (Italy),1959-1968,10,10,0,31,0,5,5,2,0,5,5,0,50
T Martins (Port),2013-2015,10,5,5,0,0,0,0,0,0,2,7,1,25
CG Mather (Scot),1999-2004,10,7,3,10,2,0,0,0,0,4,6,0,40
J Matsumoto (JPN),1977-1982,10,10,0,0,0,0,0,0,0,2,7,1,25
JRC Matthews (Eng),1949-1952,10,10,0,0,0,0,0,0,0,6,4,0,60
I Melinte (Rom),2018-2020,10,9,1,45,7,2,2,0,0,4,6,0,40
J Menutti (Braz),2008-2011,10,7,3,26,2,2,4,0,0,5,5,0,50
S Mikaele (Samoa),2004-2010,10,7,3,0,0,0,0,0,0,6,4,0,60
AJ Miller (JPN),2002-2003,10,7,3,70,6,17,1,1,0,6,4,0,60
AG Miriallakis (Belg),2013-2014,10,6,4,10,2,0,0,0,0,0,9,1,5
WG Mitchell (Eng/GB),1890-1893,10,10,0,3,0,0,0,0,1,7,3,0,70
A Montiel (Parag),2015-2018,10,10,0,5,1,0,0,0,0,2,8,0,20
MJ Moore (Ire),2014-2015,10,0,10,0,0,0,0,0,0,8,2,0,80
A Moreno (Chile),2001-2006,10,6,4,5,1,0,0,0,0,4,6,0,40
CS Morgan (Wales),2002-2005,10,9,1,15,3,0,0,0,0,3,7,0,30
JRW Morrow (Ire),1882-1888,10,10,0,0G,0,0,0,0,0,0,10,0,0
M Mot (Rom),1980-1988,10,10,0,8,2,0,0,0,0,4,6,0,40
A Motoc (Rom),2017-2020,10,6,4,0,0,0,0,0,0,3,7,0,30
S Munro (Scot),1980-1984,10,10,0,8,2,0,0,0,0,5,5,0,50
E Muric (Belg),2017-2020,10,10,0,15,3,0,0,0,0,2,8,0,20
J Murphy (Germ),2017-2019,10,5,5,5,1,0,0,0,0,4,6,0,40
CD Murray (HK),1997-2002,10,6,4,64,4,10,8,0,0,6,4,0,60
D Musat (Rom),1974-1980,10,10,0,0,0,0,0,0,0,7,1,2,80
L Mustoe (Wales),1995-1998,10,5,5,0,0,0,0,0,0,6,4,0,60
L Nabaro (HK),1997-1998,10,10,0,45,9,0,0,0,0,7,3,0,70
JS Naivalu (USA),2000-2004,10,8,2,20,4,0,0,0,0,2,8,0,20
S Naivalu (Aust),2016-2018,10,5,5,25,5,0,0,0,0,3,7,0,30
C Nana Njilem (Belg),2013-2014,10,6,4,10,2,0,0,0,0,0,9,1,5
J Nasova (Fiji),1963-1968,10,10,0,10,0,2,1,1,0,6,3,1,65
JA Nel (Namib),2012-2016,10,4,6,20,4,0,0,0,0,8,2,0,80
CH Newman (Wales),1881-1887,10,10,0,0G,0,0,0,0,0,1,7,2,20
MF Nicholls (NZ),1921-1930,10,10,0,48,0,11,5,2,1,8,1,1,85
P Novikov (Russ),2004-2006,10,10,0,78,2,13,14,0,0,5,4,1,55
AL Novis (Eng/GB),1929-1933,10,10,0,18,6,0,0,0,0,4,6,0,40
JN Odero (Kenya),2018-2019,10,10,0,5,1,0,0,0,0,5,5,0,50
K Oguchi (JPN),1997-2000,10,7,3,0,0,0,0,0,0,2,8,0,20
N Onutu (Rom),2016-2020,10,7,3,0,0,0,0,0,0,7,3,0,70
HGO Owen-Smith (Eng),1934-1937,10,10,0,0,0,0,0,0,0,8,1,1,85
J Pagano (Can),1997-1999,10,10,0,15,3,0,0,0,0,6,4,0,60
A Palacios (Chile),2003-2005,10,6,4,10,2,0,0,0,0,2,8,0,20
SD Panico (Italy),2016-2017,10,2,8,0,0,0,0,0,0,3,7,0,30
M Parfitt (HK),2016-2018,10,1,9,0,0,0,0,0,0,7,3,0,70
WY Park (Korea),2004-2013,10,4,6,0,0,0,0,0,0,3,6,1,35
RAH Parkinson (JPN),2003-2005,10,8,2,0,0,0,0,0,0,1,9,0,10
DS Paterson (Scot),1969-1972,10,10,0,6,1,0,0,1,0,4,6,0,40
CM Payne (Eng),1964-1966,10,10,0,3,1,0,0,0,0,2,6,2,30
J Pecune (Fra),1974-1976,10,10,0,16,4,0,0,0,0,6,2,2,70
M Perziano (Italy),2000-2001,10,10,0,15,3,0,0,0,0,3,7,0,30
RD Phillips (Wales),1987-1989,10,10,0,0,0,0,0,0,0,5,5,0,50
AC Pinto (Port),1970-1974,10,10,0,0,0,0,0,0,0,3,5,2,40
M Piovan (Italy),1973-1979,10,8,2,0,0,0,0,0,0,1,9,0,10
JP Preston (NZ),1991-1997,10,6,4,34,1,4,7,0,0,9,1,0,90
J Prin-Clary (Fra),1945-1947,10,10,0,3,1,0,0,0,0,6,4,0,60
T Privat (Fra),2001-2005,10,7,3,0,0,0,0,0,0,7,3,0,70
C Promanzio (Arg),1996-1998,10,6,4,5,1,0,0,0,0,4,6,0,40
ABHL Purves (Scot),1906-1908,10,10,0,22,6,0,0,1,0,6,4,0,60
N Qoro (Fiji),1996-1999,10,7,3,0,0,0,0,0,0,6,4,0,60
MAM Quinn (Ire),1973-1981,10,10,0,18,0,0,4,2,0,3,5,2,40
ST Radradra Waqavatu (Fiji),2018-2019,10,10,0,25,5,0,0,0,0,6,4,0,60
J Railomo Taginayaviusa (Fiji),2005-2008,10,6,4,0,0,0,0,0,0,5,5,0,50
S Ramaker (Neth),1998-2002,10,5,5,0,0,0,0,0,0,0,10,0,0
T Ranavue (Fiji),1947-1954,10,9,1,41,3,1,9,1,0,5,5,0,50
RE Rangi (NZ),1964-1966,10,10,0,9,3,0,0,0,0,8,2,0,80
M Rasari (Fiji),1988-1991,10,9,1,16,4,0,0,0,0,4,4,2,50
NP Reilly (Aust),1968-1969,10,10,0,0,0,0,0,0,0,1,9,0,10
JA Retief (Namib),2017-2019,10,4,6,0,0,0,0,0,0,3,7,0,30
RJ Reynolds (Aust),1984-1987,10,10,0,8,2,0,0,0,0,8,2,0,80
M Riccioni (Italy),2019-2020,10,2,8,0,0,0,0,0,0,3,7,0,30
AJ Richter (SA),1992-1995,10,9,1,20,4,0,0,0,0,5,4,1,55
JC Robbie (Ire/Lions),1976-1981,10,10,0,9,0,0,3,0,0,1,9,0,10
DJ Robertson (NZ),1974-1977,10,10,0,8,2,0,0,0,0,6,3,1,65
TTH Robinson (Ire),1904-1907,10,10,0,3,1,0,0,0,0,3,7,0,30
C Rodriguez (Urug),1997-2000,10,6,4,10,2,0,0,0,0,6,4,0,60
G Rokhvadze (Georg),2008-2014,10,4,6,0,0,0,0,0,0,4,6,0,40
S Rokini (Fiji),2000-2003,10,8,2,5,1,0,0,0,0,8,2,0,80
WMH Rose (Eng),1981-1987,10,10,0,82,2,4,22,0,0,3,6,1,35
L Rubio (Spain),2018-2020,10,7,3,0,0,0,0,0,0,8,2,0,80
AA Salageanu (Rom),1995-1997,10,7,3,0,0,0,0,0,0,3,7,0,30
M Salanoa (Samoa),2005-2007,10,3,7,0,0,0,0,0,0,7,3,0,70
M Salavea (Samoa),2010-2011,10,6,4,5,1,0,0,0,0,5,5,0,50
R Samatan (Fra),1930-1931,10,10,0,9,3,0,0,0,0,6,4,0,60
A Sanac (Fra),1952-1957,10,10,0,3,1,0,0,0,0,5,5,0,50
H Sato (JPN),1952-1958,10,10,0,0,0,0,0,0,0,0,10,0,0
HJM Sayers (Ire),1935-1939,10,10,0,3,0,0,0,0,1,6,4,0,60
M Schroers (Germ),1935-1940,10,10,0,3,1,0,0,0,0,4,6,0,40
H Schwanenberg (Germ),1929-1937,10,10,0,4,0,0,0,1,0,2,8,0,20
DM Scott (Scot),1950-1953,10,10,0,0,0,0,0,0,0,2,8,0,20
M Secco (Urug),2016-2016,10,8,2,66,0,18,10,0,0,6,4,0,60
I Seceleanu (Rom),1992-1993,10,10,0,0,0,0,0,0,0,4,6,0,40
S Selupe (Tonga),1963-1973,10,10,0,6,2,0,0,0,0,4,5,1,45
SJ Senio (Samoa),2004-2006,10,3,7,10,2,0,0,0,0,6,4,0,60
F Serra Miras (Arg),2003-2008,10,7,3,26,2,2,4,0,0,8,2,0,80
F Seru (Fiji),1990-1993,10,9,1,16,4,0,0,0,0,4,6,0,40
I Servan Garcia (Spain),1992-1994,10,10,0,0,0,0,0,0,0,3,6,1,35
HS Sever (Eng),1936-1938,10,10,0,19,5,0,0,1,0,6,3,1,65
HE Shewring (Eng),1905-1907,10,10,0,3,1,0,0,0,0,3,6,1,35
K Shibata (JPN),1972-1978,10,9,1,0,0,0,0,0,0,2,8,0,20
K Shigeno (JPN),2016-2019,10,6,4,5,1,0,0,0,0,7,3,0,70
F Shimazaki (JPN),1970-1973,10,8,2,10,2,0,1,0,0,3,6,1,35
V Silva (Port),2000-2001,10,10,0,0,0,0,0,0,0,3,7,0,30
A Silveira (Urug),1987-1992,10,10,0,13,3,0,0,0,0,8,2,0,80
JD Simpson-Daniel (Eng),2002-2007,10,6,4,15,3,0,0,0,0,7,3,0,70
DSL Snyman (SA),1972-1977,10,9,1,24,1,1,4,2,0,6,4,0,60
BAH Solomons (Ire),1908-1910,10,10,0,0,0,0,0,0,0,2,7,1,25
F Sosa Diaz (Urug),1993-2001,10,2,8,0,0,0,0,0,0,4,6,0,40
LM Speirs (Scot),1906-1910,10,10,0,0,0,0,0,0,0,6,4,0,60
W Spiller (Wales),1910-1913,10,10,0,16,4,0,0,1,0,7,3,0,70
HW Steele (Ire),1976-1979,10,10,0,0,0,0,0,0,0,4,5,1,45
CJ Steenkamp (Namib),1992-1998,10,9,1,27,1,5,4,0,0,7,3,0,70
JC Steggall (Aust),1931-1933,10,10,0,9,3,0,0,0,0,4,6,0,40
DH Stephens (Wales),1912-1919,10,10,0,0,0,0,0,0,0,5,5,0,50
WJ Stewart (Ire),1922-1929,10,10,0,0,0,0,0,0,0,6,3,1,65
AE Stoddart (Eng),1885-1893,10,10,0,5,2,1,0,0,1,6,3,1,65
G Stoica (Rom),1963-1969,10,9,1,0,0,0,0,0,0,8,2,0,80
LC Strachan (SA),1932-1938,10,10,0,0,0,0,0,0,0,8,2,0,80
RAW Straeuli (SA),1994-1995,10,8,2,20,4,0,0,0,0,9,1,0,90
AJ Summons (Aust),1958-1959,10,10,0,3,1,0,0,0,0,1,8,1,15
AR Sutherland (NZ),1970-1973,10,10,0,12,3,0,0,0,0,6,3,1,65
JS Swart (SA),1996-1997,10,7,3,5,1,0,0,0,0,6,4,0,60
T Tabvuma (Zimb),1993-1998,10,10,0,0,0,0,0,0,0,5,5,0,50
E Takaendesa (Germ),2008-2010,10,10,0,0,0,0,0,0,0,2,8,0,20
S Tamanibeka (Fiji),1924-1928,10,10,0,3,1,0,0,0,0,4,5,1,45
I Taniguchi (JPN),2010-2011,10,5,5,0,0,0,0,0,0,6,4,0,60
SJ Tatupu (Samoa),1990-1995,10,9,1,15,3,0,0,0,0,6,4,0,60
WG Taylor (Can),1978-1983,10,8,2,11,0,1,3,0,0,5,5,0,50
JT te Huia (Germ),2015-2016,10,8,2,20,0,1,5,1,0,3,6,1,35
E Thiesis (Germ),1936-1940,10,10,0,3,1,0,0,0,0,5,5,0,50
DJ Thomas (Wales),1904-1912,10,10,0,0,0,0,0,0,0,7,2,1,75
NF Thomaz (Port),1990-1993,10,10,0,10,2,0,0,0,0,4,6,0,40
RHR Thompson (Namib),2004-2006,10,4,6,22,4,1,0,0,0,8,2,0,80
GS Thorne (NZ),1968-1970,10,10,0,3,1,0,0,0,0,7,3,0,70
H Toft (Eng),1936-1939,10,10,0,0,0,0,0,0,0,7,3,0,70
RM Tooth (Aust),1951-1957,10,10,0,21,1,3,4,0,0,2,8,0,20
J Tourtoulou Castillon (Spain),2007-2011,10,6,4,5,1,0,0,0,0,3,7,0,30
C Traore (Italy),2018-2019,10,0,10,0,0,0,0,0,0,2,8,0,20
H Tuilagi (Samoa),2002-2009,10,9,1,5,1,0,0,0,0,4,6,0,40
AE Tuilevuka (USA),2006-2010,10,2,8,12,2,1,0,0,0,5,5,0,50
T Tulia (Tonga),2002-2005,10,7,3,35,7,0,0,0,0,4,6,0,40
J Turnbull (Wales),2011-2018,10,3,7,0,0,0,0,0,0,5,5,0,50
E Tweedale (Aust),1946-1949,10,10,0,0,0,0,0,0,0,4,5,1,45
A Tyshchenko (Ukr),2005-2006,10,10,0,0,0,0,0,0,0,0,10,0,0
K Usami (JPN),2015-2017,10,6,4,10,2,0,0,0,0,10,0,0,100
S Vaili (Samoa),2001-2004,10,6,4,0,0,0,0,0,0,6,4,0,60
M Valesani (Arg),1989-1990,10,10,0,0,0,0,0,0,0,6,4,0,60
G van der Pol (Neth),2000-2002,10,9,1,10,2,0,0,0,0,1,9,0,10
L van Dyk (Namib),1998-2002,10,10,0,70,3,11,11,0,0,6,4,0,60
CJ van Wijk (SA),1951-1955,10,10,0,18,6,0,0,0,0,8,2,0,80
R van Wyk (Namib),2002-2004,10,10,0,50,10,0,0,0,0,7,3,0,70
HJ van Zyl (SA),1960-1961,10,10,0,18,6,0,0,0,0,8,1,1,85
S Vatubua (Fiji),1951-1958,10,10,0,16,0,5,2,0,0,5,5,0,50
V Vavaitamana (Fiji),1932-1939,10,10,0,0,0,0,0,0,0,7,2,1,75
E Vermeulen (Fra),2001-2008,10,6,4,5,1,0,0,0,0,5,5,0,50
P Vezzani (Italy),1973-1976,10,10,0,12,3,0,0,0,0,6,3,1,65
K Viliamu (Samoa),2001-2004,10,4,6,5,1,0,0,0,0,3,7,0,30
B Vivies (Fra),1978-1983,10,8,2,20,0,1,4,2,0,4,5,1,45
A Vizintin (Urug),1975-1981,10,10,0,4,1,0,0,0,0,7,3,0,70
V Vorapaev (Russ),1992-1994,10,9,1,10,2,0,0,0,0,7,3,0,70
RB Walkington (Ire),1875-1882,10,10,0,0G,0,0,0,0,0,0,9,1,5
J Wallace (Ire),1903-1906,10,10,0,12,4,0,0,0,0,4,6,0,40
WA Walls (Scot),1882-1886,10,10,0,0G,0,0,0,0,0,7,2,1,75
P Waqa (Fiji),1926-1934,10,10,0,9,3,0,0,0,0,7,3,0,70
T Watanabe (JPN),2015-2017,10,4,6,0,0,0,0,0,0,9,1,0,90
IJ Watkins (Wales),1988-1989,10,9,1,4,1,0,0,0,0,4,6,0,40
D Watson (HK),2011-2013,10,7,3,0,0,0,0,0,0,6,4,0,60
LA Watson (SA),2007-2008,10,5,5,0,0,0,0,0,0,7,3,0,70
WS Watson (Scot),1974-1979,10,10,0,0,0,0,0,0,0,3,6,1,35
GMC Webbe (Wales),1986-1988,10,8,2,16,4,0,0,0,0,5,5,0,50
JJ Wetter (Wales),1914-1924,10,10,0,14,4,1,0,0,0,6,4,0,60
J White (SA),1931-1937,10,10,0,10,2,0,0,1,0,7,3,0,70
WGS White (Aust),1933-1936,10,10,0,0,0,0,0,0,0,4,5,1,45
JP Wiley (Can),1977-1981,10,10,0,22,0,2,6,0,0,4,6,0,40
NA Wilson (NZ),1908-1914,10,10,0,6,2,0,0,0,0,7,2,1,75
MA Wyatt (Wales),1983-1987,10,10,0,81,1,7,21,0,0,4,5,1,45
S Yalayala (Fiji),1983-1986,10,8,2,27,6,0,1,0,0,7,3,0,70
A Yalayalatabua (Fiji),2007-2010,10,8,2,0,0,0,0,0,0,6,4,0,60
M Yamamoto (JPN),2004-2007,10,4,6,15,3,0,0,0,0,5,5,0,50
JRC Young (Eng/Lions),1958-1961,10,10,0,9,3,0,0,0,0,4,4,2,50
M Young (Eng),1977-1979,10,10,0,15,1,4,1,0,0,4,5,1,45
WB Young (Scot),1937-1948,10,10,0,3,1,0,0,0,0,5,5,0,50
SRD Abbott (Eng),2003-2006,9,6,3,10,2,0,0,0,0,5,4,0,55.55
JMCFS Abecasis (Port),2017-2019,9,7,2,67,1,13,11,1,0,7,2,0,77.77
JL Adriazola (Chile),1967-1977,9,8,1,4,1,0,0,0,0,5,4,0,55.55
B Agulla (Arg),2010-2013,9,7,2,25,5,0,0,0,0,7,2,0,77.77
ELMT Aholelei (Tonga),2013-2016,9,5,4,5,1,0,0,0,0,1,7,1,16.66
DF Ainu'u (USA),2018-2019,9,3,6,0,0,0,0,0,0,6,3,0,66.66
B Alkhazashvili (Georg),2016-2018,9,2,7,0,0,0,0,0,0,8,1,0,88.88
GG Allen (Ire),1896-1899,9,9,0,3,1,0,0,0,0,6,2,1,72.22
GM Alvarez (Arg),1975-1977,9,9,0,56,14,0,0,0,0,8,1,0,88.88
ARD Andrade (Port),1994-1997,9,9,0,0,0,0,0,0,0,2,7,0,22.22
KS Andrews (SA),1992-1994,9,7,2,0,0,0,0,0,0,3,4,2,44.44
RCA Appleyard (Wales),1997-1998,9,8,1,0,0,0,0,0,0,6,3,0,66.66
D Arbelo Garcia (Urug),2016-2019,9,4,5,0,0,0,0,0,0,4,5,0,44.44
R Arita (JPN),2012-2015,9,4,5,5,1,0,0,0,0,6,3,0,66.66
D Armellin (Italy),1965-1969,9,9,0,3,1,0,0,0,0,7,1,1,83.33
M Auzmendi Ripoll (Spain),1992-1993,9,6,3,0,0,0,0,0,0,2,7,0,22.22
V Ayarza Saporta (Chile),2018-2019,9,8,1,5,1,0,0,0,0,2,7,0,22.22
B Baby (Fra),2005-2009,9,7,2,8,1,0,1,0,0,5,4,0,55.55
J Baleiwei (Fiji),1926-1932,9,8,1,3,1,0,0,0,0,5,4,0,55.55
JP Ballesty (Aust),1968-1969,9,9,0,23,1,1,5,1,0,1,8,0,11.11
I Barcos (Urug),2009-2011,9,8,1,5,1,0,0,0,0,5,4,0,55.55
AJ Baxter (Aust),1949-1952,9,9,0,0,0,0,0,0,0,4,4,1,50
FH Bealham (Ire),2016-2018,9,2,7,0,0,0,0,0,0,7,2,0,77.77
RS Beattie (Scot),2000-2003,9,4,5,0,0,0,0,0,0,5,4,0,55.55
T Bengoa (Chile),1971-1985,9,9,0,21,1,1,5,0,0,3,6,0,33.33
A Benquet (Urug),1963-1971,9,9,0,6,2,0,0,0,0,3,6,0,33.33
CW Berry (Scot),1884-1888,9,9,0,7G,0,6,0,0,1,5,2,2,66.66
S Berti Flores (Chile),2001-2006,9,9,0,58,2,8,7,2,0,3,6,0,33.33
A Bertolotti (Urug),2000-2002,9,3,6,0,0,0,0,0,0,5,4,0,55.55
R Bevilacqua (Italy),1937-1942,9,9,0,0,0,0,0,0,0,5,4,0,55.55
NSE Bezuidenhout (SA),1972-1977,9,9,0,0,0,0,0,0,0,5,3,1,61.11
AJ Bibby (Can),1979-1985,9,7,2,7,1,0,0,1,0,3,6,0,33.33
SH Biggs (Wales),1895-1900,9,9,0,0,0,0,0,0,0,4,5,0,44.44
E Billac (Fra),1920-1923,9,9,0,6,2,0,0,0,0,3,6,0,33.33
J Billingsley (Can),1974-1984,9,7,2,4,1,0,0,0,0,4,5,0,44.44
JG Bin (Korea),2012-2016,9,7,2,20,4,0,0,0,0,3,6,0,33.33
CJ Bisley (HK),2006-2010,9,9,0,5,1,0,0,0,0,4,5,0,44.44
